CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
80510090,-25.4219078028813,-49.2805581841836,2,12:48,54,80050440,-25.4325298004091,-49.2411146661928,NÃO,12:51
80050440,-25.4325298004091,-49.2411146661928,2,12:52,54,80250085,-25.4428916686675,-49.2805507832172,NÃO,12:58
80250085,-25.4428916686675,-49.2805507832172,2,12:59,54,82200200,-25.3904101875436,-49.2691160623079,NÃO,12:58
82200200,-25.3904101875436,-49.2691160623079,2,12:59,54,82200200,-25.3904101875436,-49.2691160623079,SIM,13:15
82200200,-25.3904101875436,-49.2691160623079,2,13:16,54,81770140,-25.5277922333666,-49.2459991910781,NÃO,13:24
81770140,-25.5277922333666,-49.2459991910781,2,13:25,54,82930370,-25.4627990031427,-49.2053096781914,NÃO,13:24
82930370,-25.4627990031427,-49.2053096781914,2,13:25,54,82930370,-25.4627990031427,-49.2053096781914,SIM,13:37
82930370,-25.4627990031427,-49.2053096781914,2,13:38,54,82720240,-25.3649974344476,-49.2309054649185,NÃO,13:41
82720240,-25.3649974344476,-49.2309054649185,2,13:42,54,82220610,-25.3725747859642,-49.2682819283134,NÃO,13:50
82220610,-25.3725747859642,-49.2682819283134,2,13:51,54,82015640,-25.4165571631868,-49.3376898347165,NÃO,13:50
82015640,-25.4165571631868,-49.3376898347165,2,13:51,54,82015640,-25.4165571631868,-49.3376898347165,SIM,14:08
82015640,-25.4165571631868,-49.3376898347165,2,14:09,54,81920230,-25.540158846702,-49.2654606035168,NÃO,14:14
81920230,-25.540158846702,-49.2654606035168,2,14:15,54,81480141,-25.5562061667039,-49.3231896667236,NÃO,14:14
81480141,-25.5562061667039,-49.3231896667236,2,14:15,54,81480141,-25.5562061667039,-49.3231896667236,SIM,14:20
81480141,-25.5562061667039,-49.3231896667236,2,14:21,54,81945040,-25.6022235414387,-49.3138372232201,NÃO,14:31
81945040,-25.6022235414387,-49.3138372232201,2,14:32,54,81150130,-25.5161805037496,-49.3043711084487,NÃO,14:38
81150130,-25.5161805037496,-49.3043711084487,2,14:39,54,81850650,-25.5414905884625,-49.2439315883873,NÃO,14:38
81850650,-25.5414905884625,-49.2439315883873,2,14:39,54,81850650,-25.5414905884625,-49.2439315883873,SIM,14:41
81850650,-25.5414905884625,-49.2439315883873,2,14:42,54,81750200,-25.5157135001734,-49.243793374824,NÃO,14:47
81750200,-25.5157135001734,-49.243793374824,2,14:48,54,81560730,-25.476983000057,-49.2242420001757,NÃO,14:50
81560730,-25.476983000057,-49.2242420001757,2,14:51,54,81510040,-25.4602953492636,-49.2465827083158,NÃO,14:52
81510040,-25.4602953492636,-49.2465827083158,2,14:53,54,80210400,-25.4463780000737,-49.2468984999865,NÃO,14:55
80210400,-25.4463780000737,-49.2468984999865,2,14:56,54,80620370,-25.4578113636589,-49.2746421817496,NÃO,14:55
80620370,-25.4578113636589,-49.2746421817496,2,14:56,54,80620370,-25.4578113636589,-49.2746421817496,SIM,15:05
80620370,-25.4578113636589,-49.2746421817496,2,15:06,54,81280125,-25.4406127564945,-49.3601132684004,NÃO,15:07
81280125,-25.4406127564945,-49.3601132684004,2,15:08,54,81200390,-25.4331374954389,-49.3440640772759,NÃO,15:09
81200390,-25.4331374954389,-49.3440640772759,2,15:10,54,81210070,-25.4427148131246,-49.3268133751402,NÃO,15:11
81210070,-25.4427148131246,-49.3268133751402,2,15:12,54,81200400,-25.4338997893551,-49.3437087449233,NÃO,15:11
