CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82800310,-25.4363060856137,-49.2266446131255,1,08:34:36,30,81510040,-25.4602953492636,-49.2465827083158,NÃO,08:41:17
81510040,-25.4602953492636,-49.2465827083158,1,08:42:17,30,81590220,-25.4821304044981,-49.1983598981544,SIM,08:53:07
81590220,-25.4821304044981,-49.1983598981544,1,08:54:07,30,81460239,-25.5325141725804,-49.3365793791746,SIM,09:24:03
81460239,-25.5325141725804,-49.3365793791746,1,09:25:03,30,81240110,-25.4758162194925,-49.3455733886983,SIM,09:37:48
81240110,-25.4758162194925,-49.3455733886983,1,09:38:48,30,82620150,-25.3843628304926,-49.2203917399179,SIM,10:11:09
82620150,-25.3843628304926,-49.2203917399179,1,10:12:09,30,81580020,-25.4882127778241,-49.2241676667996,SIM,10:35:16
81580020,-25.4882127778241,-49.2241676667996,1,10:36:16,30,81452334,-25.5061884000766,-49.3539056000423,SIM,11:02:37
81452334,-25.5061884000766,-49.3539056000423,1,11:03:37,30,81450350,-25.4902280000456,-49.348047000162,SIM,11:07:22
81450350,-25.4902280000456,-49.348047000162,1,11:08:22,30,81590340,-25.486945243492,-49.2043714494834,SIM,11:37:14
81590340,-25.486945243492,-49.2043714494834,1,11:38:14,30,81935446,-25.5561318634792,-49.2494041568186,SIM,11:56:05
81935446,-25.5561318634792,-49.2494041568186,1,11:57:05,30,80710040,-25.4214634286453,-49.3044615715174,SIM,12:29:01
80710040,-25.4214634286453,-49.3044615715174,1,12:30:01,30,82960518,-25.4654572500437,-49.1984884999811,SIM,12:53:27
82960518,-25.4654572500437,-49.1984884999811,1,12:54:27,30,82115020,-25.3852616256441,-49.2858709374701,SIM,13:19:29
82115020,-25.3852616256441,-49.2858709374701,1,13:20:29,30,81935437,-25.5569929167696,-49.2495865835216,SIM,13:59:22
81935437,-25.5569929167696,-49.2495865835216,1,14:00:22,30,81320083,-25.4770955000105,-49.3183277499707,SIM,14:22:52
81320083,-25.4770955000105,-49.3183277499707,1,14:23:52,30,81450410,-25.4981067710058,-49.3448539613686,SIM,14:30:58
81450410,-25.4981067710058,-49.3448539613686,1,14:31:58,30,82210230,-25.3823373333611,-49.2634891111916,SIM,15:02:28
82210230,-25.3823373333611,-49.2634891111916,1,15:03:28,30,82640640,-25.3715918782937,-49.2403618225252,SIM,15:08:42
82640640,-25.3715918782937,-49.2403618225252,1,15:08:42,30,82415070,-25.3666350000001,-49.3367376666649,NÃO,15:28:06
82415070,-25.3666350000001,-49.3367376666649,1,15:29:06,30,81070000,-25.4763966710448,-49.3031041977101,SIM,15:54:26
81070000,-25.4763966710448,-49.3031041977101,1,15:55:26,30,81880240,-25.5404745077498,-49.2975794776044,SIM,16:09:44
81880240,-25.5404745077498,-49.2975794776044,1,16:09:44,30,81480125,-25.5614706374337,-49.3118706658535,NÃO,16:15:13
81480125,-25.5614706374337,-49.3118706658535,1,16:16:13,30,80215542,-25.4467561755521,-49.2503976846901,SIM,16:44:34
80215542,-25.4467561755521,-49.2503976846901,1,16:45:34,30,81450195,-25.4997584943394,-49.3532384355102,SIM,17:09:21
81450195,-25.4997584943394,-49.3532384355102,1,17:10:21,30,81490370,-25.5945839118607,-49.3348460297419,SIM,17:31:46
81490370,-25.5945839118607,-49.3348460297419,1,17:32:46,30,81050610,-25.4838938211145,-49.3106146746474,SIM,17:57:52
81050610,-25.4838938211145,-49.3106146746474,1,17:58:52,30,82220142,-25.3755612295988,-49.2640974005018,SIM,18:24:43
82220142,-25.3755612295988,-49.2640974005018,1,18:25:43,30,82200216,-25.3890870000006,-49.270339250004,SIM,18:28:59
82200216,-25.3890870000006,-49.270339250004,1,18:28:59,30,80220200,-25.4672406908201,-49.2801499774178,NÃO,18:46:29
80220200,-25.4672406908201,-49.2801499774178,1,18:47:29,30,81110070,-25.5038132404982,-49.2938690633352,SIM,18:56:05
81110070,-25.5038132404982,-49.2938690633352,1,18:56:05,30,81230480,-25.4646281053601,-49.3394493683984,NÃO,19:08:44
81230480,-25.4646281053601,-49.3394493683984,1,19:09:44,30,80030430,-25.4146322176159,-49.2550561883948,SIM,19:30:01
80030430,-25.4146322176159,-49.2550561883948,1,19:31:01,30,80310110,-25.4618760201347,-49.3131981040754,SIM,19:46:44
80310110,-25.4618760201347,-49.3131981040754,1,19:47:44,30,82200200,-25.3904101875436,-49.2691160623079,SIM,20:05:56
82200200,-25.3904101875436,-49.2691160623079,1,20:05:56,30,80040153,-25.4213319028677,-49.2481648998847,NÃO,20:14:00
80040153,-25.4213319028677,-49.2481648998847,1,20:15:00,30,81935050,-25.555508412277,-49.2544885303963,SIM,20:44:52
81935050,-25.555508412277,-49.2544885303963,1,20:45:52,30,81520250,-25.4595564842104,-49.2411990341756,SIM,21:07:23
81520250,-25.4595564842104,-49.2411990341756,1,21:08:23,30,81460210,-25.5323146848334,-49.3335573678969,SIM,21:33:00
81460210,-25.5323146848334,-49.3335573678969,1,21:34:00,30,81070310,-25.4777156282764,-49.3079769301493,SIM,21:47:11
81070310,-25.4777156282764,-49.3079769301493,1,21:47:11,30,81200390,-25.4331374954389,-49.3440640772759,NÃO,21:59:28
81200390,-25.4331374954389,-49.3440640772759,1,22:00:28,30,81590045,-25.4936220026944,-49.1988741650016,SIM,22:32:35
81590045,-25.4936220026944,-49.1988741650016,1,22:33:35,30,81910570,-25.5339269047986,-49.2586402382427,SIM,22:48:34
81910570,-25.5339269047986,-49.2586402382427,1,22:49:34,30,81330400,-25.488124875843,-49.3264242140685,SIM,23:06:34
81330400,-25.488124875843,-49.3264242140685,1,23:07:34,30,81935382,-25.5594363219748,-49.2516978436888,SIM,23:29:24
81935382,-25.5594363219748,-49.2516978436888,1,23:30:24,30,82710082,-25.3647667288143,-49.2518749086381,SIM,00:13:42
82710082,-25.3647667288143,-49.2518749086381,1,00:14:42,30,82320220,-25.4019988462337,-49.3433039997731,SIM,00:34:51
82320220,-25.4019988462337,-49.3433039997731,1,00:35:51,30,82640710,-25.3761139167061,-49.2360147500568,SIM,00:58:10
82640710,-25.3761139167061,-49.2360147500568,1,00:59:10,30,81250190,-25.4787356976141,-49.3477187290333,SIM,01:31:11
81250190,-25.4787356976141,-49.3477187290333,1,01:32:11,30,80440090,-25.4443285001079,-49.2916224997606,SIM,01:45:49
80440090,-25.4443285001079,-49.2916224997606,1,01:45:49,30,81570092,-25.47733771481,-49.2394309559741,NÃO,01:58:37
81570092,-25.47733771481,-49.2394309559741,1,01:59:37,30,81480152,-25.5584308697738,-49.3207049341475,SIM,02:23:56
81480152,-25.5584308697738,-49.3207049341475,1,02:24:56,30,81850712,-25.5293962610013,-49.2571259563704,SIM,02:39:14
81850712,-25.5293962610013,-49.2571259563704,1,02:40:14,30,80035210,-25.4018593540355,-49.2501065029327,SIM,03:08:38
80035210,-25.4018593540355,-49.2501065029327,1,03:09:38,30,80820480,-25.4089459015341,-49.3017935380524,SIM,03:20:09
80820480,-25.4089459015341,-49.3017935380524,1,03:20:09,30,81510160,-25.4561970876697,-49.2447744337813,NÃO,03:35:42
81510160,-25.4561970876697,-49.2447744337813,1,03:36:42,30,81560730,-25.476983000057,-49.2242420001757,SIM,03:42:54
81560730,-25.476983000057,-49.2242420001757,1,03:42:54,30,81830580,-25.525272804958,-49.2599985858237,NÃO,03:55:50
81830580,-25.525272804958,-49.2599985858237,1,03:56:50,30,81450520,-25.4951670667098,-49.3442928001987,SIM,04:15:02
81450520,-25.4951670667098,-49.3442928001987,1,04:16:02,30,81030180,-25.4763519008138,-49.2647633349843,SIM,04:32:33
81030180,-25.4763519008138,-49.2647633349843,1,04:33:33,30,82100470,-25.3984034918396,-49.2952852364297,SIM,04:51:57
82100470,-25.3984034918396,-49.2952852364297,1,04:51:57,30,80040150,-25.419191727292,-49.2505313635874,NÃO,05:02:04
80040150,-25.419191727292,-49.2505313635874,1,05:03:04,30,81550240,-25.4774264375435,-49.2110857497498,SIM,05:18:15
81550240,-25.4774264375435,-49.2110857497498,1,05:19:15,30,81470089,-25.5687003611858,-49.3290482775162,SIM,05:50:27
81470089,-25.5687003611858,-49.3290482775162,1,05:51:27,30,82650230,-25.3772499488416,-49.2469517894625,SIM,06:37:07
82650230,-25.3772499488416,-49.2469517894625,1,06:38:07,30,82520150,-25.4121197273283,-49.2373089094202,SIM,06:46:07
82520150,-25.4121197273283,-49.2373089094202,1,06:47:07,30,81450310,-25.4928927891057,-49.3482807107009,SIM,07:15:45
81450310,-25.4928927891057,-49.3482807107009,1,07:16:45,30,81130270,-25.5076616583274,-49.3009496047833,SIM,07:26:49
